name,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Abkhazia,,,,,,,,,,,,,,,,,
Afghanistan,0.06410684,0.057964759,0.052333365,0.048546686,0.037446034,0.034170007,0.027255262,0.014583427,0.022703695,0.02747237,0.036116006,0.044767408,0.064789118,0.126563922,0.206489973,,
Akrotiri and Dhekelia,,,,,,,,,,,,,,,,,
Albania,0.664204261,0.647904842,0.499261188,0.569225595,0.971341941,0.983553048,1.047320154,1.212816368,1.380886027,1.31653856,1.464659325,1.342792013,1.417079302,1.297752738,0.941724875,,
Algeria,3.3467306,3.354239287,3.015670427,3.608257647,3.060244617,2.879527679,2.720453311,2.889312782,2.899236274,2.762219639,3.257009779,3.213169256,3.324770106,3.232666515,3.470674782,3.3273938,3.45462553
American Samoa,,,,,,,,,,,,,,,,,
Andorra,6.290669098,6.520817044,7.061602855,7.533542944,8.022713656,8.112345411,7.897775769,7.700515138,7.414281031,7.499690096,7.390954533,6.839939571,6.622435189,6.527241242,6.178519784,,
Angola,0.909616232,0.842412671,0.576990561,0.556212458,0.677616537,0.68507907,0.676339193,0.850521392,0.587810214,1.177610138,1.161661852,1.308848969,1.435043652,1.442642492,1.436423326,,
Anguilla,,,1.789665495,2.453557659,2.392716199,2.981568486,3.188960399,3.054791858,3.214323664,3.36314301,3.7817396,3.664572625,4.07605549,3.980909729,3.896822761,,
Antigua and Barbuda,4.700717734,4.580080436,4.664325286,4.497461473,4.584238117,4.438377803,4.353775869,4.50892469,4.756310474,4.913204085,4.893782672,5.006748909,5.077481041,5.14880507,5.261839138,,
Argentina,3.515586596,3.661563359,3.770570752,3.809677519,3.981141308,3.819693795,3.555285354,3.273067083,3.502902226,4.072843801,4.023542132,4.38612968,4.408971137,4.585560931,4.360739615,4.493794488,4.797249604
Armenia,1.082990788,0.821831009,1.045668737,1.095600732,0.989444203,1.126427051,1.155322737,0.994206704,1.120167569,1.190051716,1.421960886,1.427325515,1.648352304,1.804106217,1.455979657,,
Aruba,22.18542634,21.80516598,21.74312968,19.21445326,19.02942041,24.73662638,24.21604611,23.83821726,23.27741935,22.80421892,22.50914227,22.13329958,22.62093228,21.68186039,21.52978401,,
Australia,16.9664942,17.97142596,18.00758856,18.51527047,17.1783559,17.19727773,16.7592018,17.41306767,17.46183995,17.36940037,17.99196086,18.19043099,18.05504498,18.2656569,18.27013601,16.25183314,17.34682473
Austria,7.778174302,7.916498335,8.015418492,8.219538404,7.989368994,7.956563584,8.174472454,8.310385131,8.889629244,8.77880008,9.050197541,8.659639646,8.304268194,8.178764487,7.444486754,7.798180073,7.459626696
Azerbaijan,4.311337741,4.016582306,3.76642575,3.97117158,3.55432571,3.637859001,3.512029922,3.576219661,3.654527368,3.783992486,3.998027303,4.500681609,5.162672945,5.918422112,5.412280055,5.19025543,5.51313299
Bahamas,6.185945324,6.100835341,6.063940042,6.170608905,6.111360556,6.03615196,5.956999088,6.810529289,6.028349361,6.838470393,7.118448052,7.18475043,7.358732109,7.373751601,7.639837096,,
Bahrain,28.65418521,27.16928097,29.20417458,30.10779779,28.74761673,29.20955468,21.67437083,24.44749015,25.44486405,26.0633758,26.49808846,24.02689968,24.1927208,23.09002916,20.70689884,,
Bangladesh,0.194183266,0.200349627,0.204801701,0.192612351,0.198328537,0.2150051,0.245908794,0.250968669,0.248231996,0.28702078,0.267590554,0.338350182,0.336746846,0.31921141,0.347089821,0.36766442,0.365706095
Barbados,3.145847886,3.21933214,3.40264365,4.287918497,4.535946438,4.440938877,4.552708507,4.569471465,4.709422682,4.794768355,5.001792956,5.059113166,5.251247462,5.523305654,5.767186068,,
Belarus,6.045545728,5.871689583,5.832167658,5.669982702,5.522028257,5.31563697,5.253945879,5.257819224,5.416118375,5.878412349,6.011031743,6.323492475,6.196023914,6.48817388,6.256458409,6.36464219,6.510963884
Belgium,11.20711871,11.84509069,11.49808756,11.76602654,11.41401578,11.37004648,11.23814512,10.48576859,11.14472772,10.74369108,10.41989843,10.19806569,9.727901523,9.890022172,9.71615568,,
Belize,1.71424335,1.360406002,1.67207294,1.55304031,2.459732783,2.751697856,2.772343084,1.368018568,1.391576127,1.387398204,1.409518521,1.417945547,1.451035512,1.36012592,1.356699564,,
Benin,0.234878821,0.217279845,0.203292322,0.197193216,0.246781882,0.248089466,0.258579506,0.295955286,0.323936884,0.339506861,0.314131037,0.49235403,0.554571281,0.537539184,0.564379901,,
